"Description: ","Heatwave definitions and aspects"
"Station: ","9433001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, HWM, HWA, HWN, HWD, HWF
1979, 2.31371018518519, 5.93305555555555, 2, 3, 6
1980, 0.50115277777778, 0.888000000000001, 1, 3, 3
1981, 4.28578888888889, 7.86111111111112, 1, 4, 4
1982, 5.29872076388889, 10.8644972222222, 4, 10, 21
1983, 5.80889364021164, 25.0740944444444, 5, 7, 25
1984, 5.63211006944444, 15.3936111111111, 2, 4, 7
1985, 6.44118703703704, 15.7031888888889, 1, 15, 15
1986, 1.29425, 2.388, 1, 4, 4
1987, -99.9, -99.9, 0, -99.9, 0
1988, -99.9, -99.9, 0, -99.9, 0
1989, -99.9, -99.9, 0, -99.9, 0
1990, 3.49609097222222, 6.3928138888889, 1, 4, 4
1991, 4.54214791666667, 6.12566666666668, 2, 4, 5
1992, 2.2712962962963, 4.17777777777779, 1, 3, 3
1993, 1.40606898148148, 4.01876944444445, 2, 3, 6
1994, -99.9, -99.9, 0, -99.9, 0
1995, 5.82572261904762, 12.7263888888889, 1, 7, 7
1996, 5.01359634259259, 21.4348611111111, 4, 6, 17
1997, 6.18078211419753, 12.9123888888889, 3, 5, 12
1998, 3.01731055555556, 5.9375, 5, 3, 14
1999, 1.50994814814815, 3.31527777777779, 1, 3, 3
2000, -99.9, -99.9, 0, -99.9, 0
2001, 4.78532700617284, 11.544, 3, 4, 11
2002, -99.9, -99.9, 0, -99.9, 0
2003, 6.16768371913581, 18.9372416666667, 3, 4, 11
2004, 7.13974, 27.0249, 2, 5, 8
2005, 4.05030208333334, 5.45625000000002, 1, 4, 4
2006, 3.28478148148148, 4.54684444444445, 1, 3, 3
2007, 5.50919612794614, 23.985, 3, 11, 17
2008, 6.34524265432099, 25.3565, 3, 15, 22
2009, -99.9, -99.9, 0, -99.9, 0
2010, 5.03664351851853, 9.942, 1, 3, 3
2011, 3.03965849074074, 7.40266666666667, 5, 8, 23
2012, 7.08210614583333, 28.3613333333333, 4, 6, 20
2013, 1.82411148148148, 7.16741666666665, 3, 5, 11
2014, 2.42756018518518, 7.91583333333333, 3, 5, 11
2015, 3.1335212962963, 5.41511111111109, 4, 5, 14
2016, 6.09336741071429, 18.1444444444444, 4, 7, 20
2017, -99.9, -99.9, 0, -99.9, 0
2018, 11.0110167438272, 40.5603000000001, 3, 4, 11
2019, 2.41076782407408, 7.82707500000001, 4, 4, 13
2020, -99.9, -99.9, -99.9, -99.9, -99.9
